;Order of definitions in this particular library matters. Don't change any of the definitions from GUI as it will change order of the 
;definitions. You've been warned. 
*CB0?‖aaa‖SI‖En‖{Backspace 2}aa‖
*CB0?‖AAA‖SI‖En‖{Backspace 2}AA‖
*CB0?‖aa‖SI‖En‖{Backspace 2}ą‖
*CB0?‖AA‖SI‖En‖{Backspace 2}Ą‖
*CB0?‖CCC‖SI‖En‖{Backspace 2}CC‖
*CB0?‖ccc‖SI‖En‖{Backspace 2}cc‖
*CB0?‖cc‖SI‖En‖{Backspace 2}ć‖
*CB0?‖CC‖SI‖En‖{Backspace 2}Ć‖
*CB0?‖eee‖SI‖En‖{Backspace 2}ee‖
*CB0?‖EEE‖SI‖En‖{Backspace 2}EE‖
*CB0?‖ee‖SI‖En‖{Backspace 2}ę‖
*CB0?‖EE‖SI‖En‖{Backspace 2}Ę‖
*CB0?‖lll‖SI‖En‖{Backspace 2}ll‖
*CB0?‖LLL‖SI‖En‖{Backspace 2}LL‖
*CB0?‖ll‖SI‖En‖{Backspace 2}ł‖
*CB0?‖LL‖SI‖En‖{Backspace 2}Ł‖
*CB0?‖nnn‖SI‖En‖{Backspace 2}nn‖
*CB0?‖NNN‖SI‖En‖{Backspace 2}NN‖
*CB0?‖nn‖SI‖En‖{Backspace 2}ń‖
*CB0?‖NN‖SI‖En‖{Backspace 2}Ń‖
*CB0?‖ooo‖SI‖En‖{Backspace 2}oo‖
*CB0?‖OOO‖SI‖En‖{Backspace 2}OO‖
*CB0?‖oo‖SI‖En‖{Backspace 2}ó‖
*CB0?‖OO‖SI‖En‖{Backspace 2}Ó‖
*CB0?‖sss‖SI‖En‖{Backspace 2}ss‖
*CB0?‖SSS‖SI‖En‖{Backspace 2}SS‖
*CB0?‖ss‖SI‖En‖{Backspace 2}ś‖
*CB0?‖SS‖SI‖En‖{Backspace 2}Ś‖
*CB0?‖xxx‖SI‖En‖{Backspace 2}xx‖
*CB0?‖XXX‖SI‖En‖{Backspace 2}XX‖
*CB0?‖xx‖SI‖En‖{Backspace 2}ź‖
*CB0?‖XX‖SI‖En‖{Backspace 2}Ź‖
*CB0?‖zzz‖SI‖En‖{Backspace 2}zz‖
*CB0?‖ZZZ‖SI‖En‖{Backspace 2}ZZ‖
*CB0?‖zz‖SI‖En‖{Backspace 2}ż‖
*CB0?‖ZZ‖SI‖En‖{Backspace 2}Ż‖
